exchange	stock_symbol	date	dividends
NYSE	AGN	5/22/1995	0.03
NYSE	AGN	2/13/1995	0.0275
NYSE	AGN	11/10/1994	0.0275
NYSE	AGN	8/22/1994	0.0275
NYSE	AGN	5/20/1994	0.025
NYSE	AGN	2/11/1994	0.025
NYSE	AGN	11/10/1993	0.025
NYSE	AGN	8/20/1993	0.025
NYSE	AGN	5/20/1993	0.025
NYSE	AGN	2/10/1993	0.025
NYSE	AGN	11/10/1992	0.025
NYSE	AGN	8/20/1992	0.025
NYSE	AGN	5/19/1992	0.0225
NYSE	AGN	2/10/1992	0.0225
NYSE	AGN	11/12/1991	0.0225
NYSE	AGN	8/20/1991	0.02
NYSE	AGN	5/20/1991	0.02
NYSE	AGN	2/11/1991	0.02
NYSE	AGN	11/9/1990	0.01875
NYSE	AGN	8/20/1990	0.01875
NYSE	AGN	5/21/1990	0.01875
NYSE	AGN	2/12/1990	0.01875
NYSE	AGN	11/13/1989	0.01875
NYSE	ADC	12/17/2009	0.51
NYSE	ADC	9/28/2009	0.51
NYSE	ADC	6/26/2009	0.5
NYSE	ADC	3/27/2009	0.5
NYSE	ADC	12/18/2008	0.5
NYSE	ADC	9/26/2008	0.5
NYSE	ADC	6/26/2008	0.5
NYSE	ADC	3/27/2008	0.5
NYSE	ADC	12/19/2007	0.5
NYSE	ADC	9/26/2007	0.49
NYSE	ADC	6/27/2007	0.49
NYSE	ADC	3/28/2007	0.49
NYSE	ADC	12/20/2006	0.49
NYSE	ADC	9/27/2006	0.49
NYSE	ADC	6/28/2006	0.49
NYSE	ADC	3/29/2006	0.49
NYSE	ADC	12/21/2005	0.49
NYSE	ADC	9/28/2005	0.49
NYSE	ADC	6/28/2005	0.49
NYSE	ADC	3/29/2005	0.49
NYSE	ADC	12/21/2004	0.49
NYSE	ADC	9/28/2004	0.49
NYSE	ADC	6/28/2004	0.485
NYSE	ADC	3/29/2004	0.485
NYSE	ADC	12/18/2003	0.485
NYSE	ADC	9/26/2003	0.485
NYSE	ADC	6/26/2003	0.485
NYSE	ADC	3/26/2003	0.48
NYSE	ADC	12/18/2002	0.46
NYSE	ADC	9/25/2002	0.46
NYSE	ADC	6/26/2002	0.46
NYSE	ADC	3/26/2002	0.46
NYSE	ADC	12/19/2001	0.46
NYSE	ADC	9/26/2001	0.46
NYSE	ADC	6/27/2001	0.46
NYSE	ADC	3/28/2001	0.46
NYSE	ADC	12/20/2000	0.46
NYSE	ADC	9/27/2000	0.46
NYSE	ADC	6/28/2000	0.46
NYSE	ADC	3/29/2000	0.46
NYSE	ADC	12/21/1999	0.46
NYSE	ADC	9/28/1999	0.46
NYSE	ADC	6/28/1999	0.46
NYSE	ADC	3/29/1999	0.46
NYSE	ADC	12/21/1998	0.46
NYSE	ADC	9/28/1998	0.46
NYSE	ADC	6/26/1998	0.46
NYSE	ADC	3/27/1998	0.46
NYSE	ADC	12/19/1997	0.46
NYSE	ADC	9/26/1997	0.46
NYSE	ADC	6/26/1997	0.45
NYSE	ADC	3/20/1997	0.45
NYSE	ADC	12/19/1996	0.45
NYSE	ADC	9/26/1996	0.45
NYSE	ADC	6/26/1996	0.45
NYSE	ADC	3/27/1996	0.45
NYSE	ADC	12/20/1995	0.45
NYSE	ADC	9/27/1995	0.45
NYSE	ADC	6/28/1995	0.45
NYSE	ADC	3/27/1995	0.45
NYSE	ADC	12/23/1994	0.45
NYSE	ADC	9/26/1994	0.45
NYSE	ADC	6/20/1994	0.45
NYSE	AYI	1/14/2010	0.13
NYSE	AYI	10/14/2009	0.13
NYSE	AYI	7/15/2009	0.13
NYSE	AYI	4/15/2009	0.13
NYSE	AYI	1/15/2009	0.13
NYSE	AYI	10/15/2008	0.13
NYSE	AYI	7/15/2008	0.13
NYSE	AYI	4/15/2008	0.13
NYSE	AYI	1/16/2008	0.13
NYSE	AYI	11/1/2007	8
NYSE	AYI	10/15/2007	0.15
NYSE	AYI	7/12/2007	0.15
NYSE	AYI	4/12/2007	0.15
NYSE	AYI	1/18/2007	0.15
NYSE	AYI	10/12/2006	0.15
NYSE	AYI	7/12/2006	0.15
NYSE	AYI	4/11/2006	0.15
NYSE	AYI	1/18/2006	0.15
NYSE	AYI	10/13/2005	0.15
NYSE	AYI	7/14/2005	0.15
NYSE	AYI	4/13/2005	0.15
NYSE	AYI	1/12/2005	0.15
NYSE	AYI	10/14/2004	0.15
NYSE	AYI	7/15/2004	0.15
NYSE	AYI	4/14/2004	0.15
NYSE	AYI	1/13/2004	0.15
NYSE	AYI	10/16/2003	0.15
NYSE	AYI	7/15/2003	0.15
NYSE	AYI	4/14/2003	0.15
NYSE	AYI	1/13/2003	0.15
NYSE	AYI	10/10/2002	0.15
NYSE	AYI	7/15/2002	0.15
NYSE	AYI	4/11/2002	0.15
NYSE	AYI	1/15/2002	0.15
NYSE	AEP	2/8/2010	0.41
NYSE	AEP	11/6/2009	0.41
NYSE	AEP	8/6/2009	0.41
NYSE	AEP	5/6/2009	0.41
NYSE	AEP	2/6/2009	0.41
NYSE	AEP	11/6/2008	0.41
NYSE	AEP	8/6/2008	0.41
NYSE	AEP	5/7/2008	0.41
NYSE	AEP	2/6/2008	0.41
NYSE	AEP	11/7/2007	0.41
NYSE	AEP	8/8/2007	0.39
NYSE	AEP	5/8/2007	0.39
NYSE	AEP	2/7/2007	0.39
NYSE	AEP	11/8/2006	0.39
NYSE	AEP	8/8/2006	0.37
NYSE	AEP	5/8/2006	0.37
NYSE	AEP	2/8/2006	0.37
NYSE	AEP	11/8/2005	0.37
NYSE	AEP	8/8/2005	0.35
NYSE	AEP	5/6/2005	0.35
NYSE	AEP	2/8/2005	0.35
NYSE	AEP	11/8/2004	0.35
NYSE	AEP	8/6/2004	0.35
NYSE	AEP	5/6/2004	0.35
NYSE	AEP	2/6/2004	0.35
NYSE	AEP	11/6/2003	0.35
NYSE	AEP	8/6/2003	0.35
NYSE	AEP	5/7/2003	0.35
NYSE	AEP	2/6/2003	0.6
NYSE	AEP	11/6/2002	0.6
NYSE	AEP	8/7/2002	0.6
NYSE	AEP	5/8/2002	0.6
NYSE	AEP	2/6/2002	0.6
NYSE	AEP	11/7/2001	0.6
NYSE	AEP	8/8/2001	0.6
NYSE	AEP	5/8/2001	0.6
NYSE	AEP	2/7/2001	0.6
NYSE	AEP	11/8/2000	0.6
NYSE	AEP	8/8/2000	0.6
NYSE	AEP	5/8/2000	0.6
NYSE	AEP	2/8/2000	0.6
NYSE	AEP	11/8/1999	0.6
NYSE	AEP	8/6/1999	0.6
NYSE	AEP	5/6/1999	0.6
NYSE	AEP	2/8/1999	0.6
NYSE	AEP	11/6/1998	0.6
NYSE	AEP	8/6/1998	0.6
NYSE	AEP	5/6/1998	0.6
NYSE	AEP	2/6/1998	0.6
NYSE	AEP	11/6/1997	0.6
NYSE	AEP	8/6/1997	0.6
NYSE	AEP	5/7/1997	0.6
NYSE	AEP	2/6/1997	0.6
NYSE	AEP	11/6/1996	0.6
NYSE	AEP	8/7/1996	0.6
NYSE	AEP	5/8/1996	0.6
NYSE	AEP	2/8/1996	0.6
NYSE	AEP	11/8/1995	0.6
NYSE	AEP	8/8/1995	0.6
NYSE	AEP	5/4/1995	0.6
NYSE	AEP	2/6/1995	0.6
NYSE	AEP	11/4/1994	0.6
NYSE	AEP	8/4/1994	0.6
NYSE	AEP	5/4/1994	0.6
NYSE	AEP	2/4/1994	0.6
NYSE	AEP	11/4/1993	0.6
NYSE	AEP	8/4/1993	0.6
NYSE	AEP	5/4/1993	0.6
NYSE	AEP	2/4/1993	0.6
NYSE	AEP	11/4/1992	0.6
NYSE	AEP	8/4/1992	0.6
NYSE	AEP	5/4/1992	0.6
NYSE	AEP	2/4/1992	0.6
NYSE	AEP	11/4/1991	0.6
NYSE	AEP	8/5/1991	0.6
NYSE	AEP	5/6/1991	0.6
NYSE	AEP	2/4/1991	0.6
NYSE	AEP	11/5/1990	0.6
NYSE	AEP	8/6/1990	0.6
